,company,type,size,ram,os,weight,price,cpu_model,cpu_brand,cpu_freq,hor_res,ver_res,is_touchscreen,is_IPS,is_HD,HDD,SSD,Flash,storage_type,gpu_brand
0,Apple,ultrabook,13.3,8,Mac OS,1.37,117142.49,Intel Core i5,Intel,2.3,2560,1600,0,1,1,0,128,0,Single,Intel
1,Apple,ultrabook,13.3,8,Mac OS,1.34,78603.31,Intel Core i5,Intel,1.8,1440,900,0,0,0,0,0,128,Single,Intel
2,HP,notebook,15.6,8,No OS,1.86,50278.0,Intel Core i5,Intel,2.5,1920,1080,0,0,1,0,256,0,Single,Intel
3,Apple,ultrabook,15.6,16,Mac OS,1.83,221874.63,Intel Core i7,Intel,2.7,2880,1800,0,1,1,0,512,0,Single,AMD
4,Apple,ultrabook,13.3,8,Mac OS,1.37,157706.78,Intel Core i5,Intel,3.1,2560,1600,0,1,1,0,256,0,Single,Intel
5,Acer,notebook,15.6,4,Windows 10,2.1,34976.0,AMD A9,AMD,3.0,1366,768,0,0,0,500,0,0,Single,AMD
6,Apple,ultrabook,15.6,16,Mac OS,2.04,187118.98,Intel Core i7,Intel,2.2,2880,1800,0,1,1,0,0,256,Single,Intel
7,Apple,ultrabook,13.3,8,Mac OS,1.34,101316.73,Intel Core i5,Intel,1.8,1440,900,0,0,0,0,0,256,Single,Intel
8,Asus,ultrabook,14.0,16,Windows 10,1.3,130722.8,Intel Core i7,Intel,1.8,1920,1080,0,0,1,0,512,0,Single,Nvidia
9,Acer,ultrabook,14.0,8,Windows 10,1.6,67328.8,Intel Core i5,Intel,1.6,1920,1080,0,1,1,0,256,0,Single,Intel
10,HP,notebook,15.6,4,No OS,1.86,34442.62,Intel Core i5,Intel,2.5,1366,768,0,0,0,500,0,0,Single,Intel
11,HP,notebook,15.6,4,No OS,1.86,30165.93,Intel Core i3,Intel,2.0,1920,1080,0,0,1,500,0,0,Single,Intel
12,Apple,ultrabook,15.6,16,Mac OS,1.83,213350.98,Intel Core i7,Intel,2.8,2880,1800,0,1,1,0,256,0,Single,AMD
13,Dell,notebook,15.6,4,Windows 10,2.2,43623.82,Intel Core i3,Intel,2.0,1920,1080,0,0,1,0,256,0,Single,AMD
14,Apple,ultrabook,11.6,8,Mac OS,0.92,110384.26,Intel Core M,Intel,1.2,2304,1440,0,1,1,0,256,0,Single,Intel
15,Apple,ultrabook,13.3,8,Mac OS,1.37,132782.01,Intel Core i5,Intel,2.3,2560,1600,0,1,1,0,256,0,Single,Intel
16,Dell,notebook,15.6,8,Windows 10,2.2,65142.8,Intel Core i7,Intel,2.7,1920,1080,0,0,1,0,256,0,Single,AMD
17,Apple,ultrabook,15.6,16,Mac OS,1.83,249903.52,Intel Core i7,Intel,2.9,2880,1800,0,1,1,0,512,0,Single,AMD
18,Lenovo,notebook,15.6,8,No OS,2.2,43632.56,Intel Core i3,Intel,2.4,1920,1080,0,0,1,1000,0,0,Single,Nvidia
19,Dell,ultrabook,13.3,8,Windows 10,1.22,85603.76,Intel Core i5,Intel,1.6,1920,1080,1,1,1,0,128,0,Single,Intel
20,Asus,netbook,11.6,2,Windows 10,0.98,16779.74,Intel Atom x5,Intel,1.44,1366,768,0,0,0,0,0,32,Single,Intel
21,Lenovo,gaming,15.6,8,Windows 10,2.5,87352.56,Intel Core i5,Intel,2.5,1920,1080,0,1,1,1000,128,0,Dual,Nvidia
22,HP,notebook,15.6,4,No OS,1.86,22559.52,others,AMD,1.5,1366,768,0,0,0,500,0,0,Single,AMD
23,Dell,2 in 1 convertible,13.3,8,Windows 10,1.62,71613.36,Intel Core i5,Intel,1.6,1920,1080,1,0,1,0,256,0,Single,Intel
24,HP,ultrabook,15.6,8,Windows 10,1.91,57622.96,Intel Core i7,Intel,1.8,1920,1080,0,0,1,0,256,0,Single,Intel
25,Dell,notebook,15.6,4,Windows 10,2.3,36605.88,Intel Core i3,Intel,2.0,1366,768,0,0,0,1000,0,0,Single,Intel
26,Apple,ultrabook,13.3,8,Mac OS,1.35,96096.56,Intel Core i5,Intel,1.6,1440,900,0,0,0,0,0,128,Single,Intel
27,Dell,notebook,15.6,8,Windows 10,2.2,69952.0,Intel Core i5,Intel,1.6,1920,1080,0,0,1,0,256,0,Single,AMD
28,Dell,ultrabook,15.6,8,Windows 10,1.88,113497.12,Intel Core i7,Intel,1.9,1920,1080,0,0,1,0,512,0,Dual,Intel
29,HP,notebook,17.3,8,Windows 10,2.5,78346.24,Intel Core i5,Intel,1.6,1920,1080,0,0,1,1000,0,0,Single,Nvidia
30,others,notebook,15.6,4,Windows 10,1.89,21421.93,Intel Atom x5,Intel,1.44,1920,1080,0,0,1,0,0,64,Single,Intel
31,Asus,notebook,14.0,2,Windows 10,1.65,17400.56,others,AMD,1.5,1366,768,0,0,0,0,0,32,Single,AMD
32,HP,notebook,17.3,4,Windows 10,2.71,38386.16,others,AMD,2.5,1920,1080,0,0,1,500,0,0,Single,AMD
33,Dell,ultrabook,13.3,16,Windows 10,1.2,163425.36,Intel Core i7,Intel,1.8,3200,1800,1,0,1,0,512,0,Single,Intel
34,Apple,ultrabook,13.3,8,Mac OS,1.35,87265.12,Intel Core i5,Intel,1.6,1440,900,0,0,0,0,0,256,Single,Intel
35,Lenovo,notebook,14.0,4,Windows 10,1.44,21772.56,Intel Celeron Dual,Intel,1.1,1366,768,0,0,0,0,0,64,Single,Intel
36,Acer,notebook,15.6,4,Linux,2.1,32090.48,Intel Core i3,Intel,2.7,1366,768,0,0,0,1000,0,0,Single,Intel
37,Dell,notebook,17.3,8,Windows 10,2.8,85603.76,Intel Core i5,Intel,1.6,1920,1080,0,1,1,1000,128,0,Dual,AMD
38,HP,notebook,15.6,4,Windows 10,1.86,42731.05,Intel Core i5,Intel,2.5,1366,768,0,0,0,1000,0,0,Single,Intel
39,HP,notebook,15.6,8,Windows 10,2.1,76859.76,Intel Core i5,Intel,1.6,1920,1080,0,0,1,0,256,0,Single,Nvidia
40,Asus,notebook,15.6,4,Linux,2.0,34014.16,Intel Core i3,Intel,2.0,1920,1080,0,0,1,1000,0,0,Single,Intel
41,Dell,gaming,15.6,16,Windows 10,2.65,131072.56,Intel Core i7,Intel,2.8,1920,1080,0,1,1,1000,256,0,Dual,Nvidia
42,Asus,notebook,15.6,8,Linux,2.3,45730.25,Intel Core i5,Intel,2.5,1366,768,0,0,0,1000,0,0,Single,Nvidia
43,Acer,notebook,15.6,4,Windows 10,2.2,59634.08,Intel Core i5,Intel,1.6,1920,1080,0,1,1,0,256,0,Single,Intel
44,Dell,2 in 1 convertible,17.3,12,Windows 10,2.77,87352.56,Intel Core i5,Intel,1.6,1920,1080,1,0,1,1000,0,0,Single,Nvidia
45,Apple,ultrabook,13.3,8,Mac OS,1.37,124077.36,Intel Core i5,Intel,2.0,2560,1600,0,1,1,0,256,0,Single,Intel
46,Lenovo,notebook,15.6,4,No OS,2.2,32265.36,Intel Core i3,Intel,2.0,1366,768,0,0,0,0,128,0,Single,Intel
47,Asus,gaming,17.3,8,Windows 10,3.2,113584.56,others,AMD,3.0,1920,1080,0,0,1,1000,256,0,Dual,AMD
48,Dell,notebook,15.6,4,Windows 10,2.3,55874.16,Intel Core i5,Intel,2.5,1920,1080,0,0,1,0,256,0,Single,AMD
49,Asus,notebook,17.3,4,Windows 10,2.8,40747.04,Intel Pentium Quad,Intel,1.1,1366,768,0,0,0,1000,0,0,Single,Nvidia
50,Lenovo,2 in 1 convertible,11.6,4,Chrome OS,0.69,27893.36,Intel Atom x5,Intel,1.44,1920,1200,1,1,1,0,0,64,Single,Intel
51,Acer,notebook,15.6,8,Windows 10,2.2,73537.04,Intel Core i7,Intel,1.8,1920,1080,0,1,1,0,256,0,Single,Nvidia
52,HP,notebook,15.6,4,Windows 10,1.86,34843.97,others,AMD,2.5,1920,1080,0,0,1,0,256,0,Single,AMD
53,HP,notebook,13.3,8,Windows 10,1.49,96446.32,Intel Core i7,Intel,1.8,1920,1080,0,0,1,0,512,0,Single,Intel
54,Acer,notebook,15.6,4,Windows 10,2.4,33576.96,Intel Core i3,Intel,2.4,1366,768,0,0,0,1000,0,0,Single,Intel
55,Dell,notebook,15.6,8,Windows 10,2.13,67136.43,Intel Core i7,Intel,1.8,1920,1080,0,0,1,0,256,0,Single,AMD
56,HP,notebook,15.6,4,Windows 10,1.91,38386.16,Intel Core i3,Intel,2.0,1920,1080,0,0,1,0,128,0,Single,Intel
57,Asus,notebook,15.6,4,Windows 10,2.0,51256.45,Intel Core i5,Intel,2.5,1366,768,0,0,0,0,256,0,Single,Intel
58,MSI,gaming,17.3,16,Windows 10,2.43,214140.56,Intel Core i7,Intel,2.8,1920,1080,0,0,1,2000,256,0,Dual,Nvidia
